D:\download\interview-sim-backend-main3\venv\Lib\site-packages\langgraph\cache\base\__init__.py:8: LangChainPendingDeprecationWarning: The default value of `allowed_objects` will change in a future version. Pass an explicit value (e.g., allowed_objects='messages' or allowed_objects='core') to suppress this warning.
  from langgraph.checkpoint.serde.jsonplus import JsonPlusSerializer
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.1.102:5000
Press CTRL+C to quit
192.168.1.97 - - [11/May/2026 15:11:25] "POST /api/v1/auth/register HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:26] "POST /auth/register HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:26] "POST /api/v1/register HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:26] "POST /register HTTP/1.1" 201 -
192.168.1.97 - - [11/May/2026 15:11:26] "POST /api/v1/auth/login HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:26] "POST /auth/login HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:26] "POST /api/v1/login HTTP/1.1" 404 -
D:\download\interview-sim-backend-main3\venv\Lib\site-packages\jwt\api_jwt.py:153: InsecureKeyLengthWarning: The HMAC key is 16 bytes long, which is below the minimum recommended length of 32 bytes for SHA256. See RFC 7518 Section 3.2.
  return self._jws.encode(
192.168.1.97 - - [11/May/2026 15:11:27] "POST /login HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:11:27] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:27] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:27] "GET /api/v1/me HTTP/1.1" 404 -
D:\download\interview-sim-backend-main3\venv\Lib\site-packages\jwt\api_jwt.py:371: InsecureKeyLengthWarning: The HMAC key is 16 bytes long, which is below the minimum recommended length of 32 bytes for SHA256. See RFC 7518 Section 3.2.
  decoded = self.decode_complete(
192.168.1.97 - - [11/May/2026 15:11:27] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:11:28] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:28] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:28] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:28] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:11:28] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:28] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:11:41] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:41] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:41] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:11:41] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:11:59] "PUT /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:00] "PUT /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:00] "PATCH /api/v1/profile HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:00] "PATCH /profile HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:12:02] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:02] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:02] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:02] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:12:02] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:02] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:12:06] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:06] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:12:10] "GET /api/v1/sessions HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:11] "GET /sessions HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:12:12] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:13] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:13] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:13] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:12:13] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:13] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:12:22] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:23] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:23] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:23] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:12:24] "POST /api/v1/sessions/start HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:12:25] "POST /sessions/start HTTP/1.1" 201 -
192.168.1.97 - - [11/May/2026 15:13:18] "POST /api/v1/sessions/53/answers/audio HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:13:24] "POST /sessions/53/answers/audio HTTP/1.1" 500 -
192.168.1.97 - - [11/May/2026 15:14:38] "POST /api/v1/sessions/53/answers/audio HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:14:39] "POST /sessions/53/answers/audio HTTP/1.1" 500 -
192.168.1.97 - - [11/May/2026 15:22:07] "POST /api/v1/auth/login HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:07] "POST /auth/login HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:08] "POST /api/v1/login HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:08] "POST /login HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:22:08] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:08] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:09] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:09] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:22:10] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:10] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:10] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:10] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:22:10] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:10] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:22:17] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:17] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:17] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:17] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:22:18] "POST /api/v1/sessions/start HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:18] "POST /sessions/start HTTP/1.1" 201 -
192.168.1.97 - - [11/May/2026 15:22:54] "POST /api/v1/sessions/54/answers/audio HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:22:56] "POST /sessions/54/answers/audio HTTP/1.1" 500 -
192.168.1.97 - - [11/May/2026 15:40:01] "POST /api/v1/auth/login HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:01] "POST /auth/login HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:01] "POST /api/v1/login HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:02] "POST /login HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:02] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:02] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:02] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:02] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:02] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:04] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:04] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:04] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:04] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:04] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:07] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:07] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:07] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:07] "GET /me HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:08] "GET /api/v1/sessions HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:08] "GET /sessions HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:10] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:10] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:46] "GET /api/v1/sessions HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:46] "GET /sessions HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:40:49] "GET /api/v1/users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:49] "GET /users/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:49] "GET /api/v1/me HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:40:49] "GET /me HTTP/1.1" 200 -
